gene	cpm_P1	cpm_P2	cpm_C1	P1_C1_log2FC	P1_C1_pvalue	P1_C1_padj	P2_C1_log2FC	P2_C1_pvalue	P2_C1_padj
VGLL4	35.7	42.4	39.3	-0.11	0.1237	0.2068	0.13	0.04361	0.0791
TAMM41	5.5	8.8	8.2	-0.2	0.007471	0.01857	0.07	0.3615	0.4612
TIMP4	2.8	1.5	0.7	0.21	1.665e-05	6.93e-05	0.09	0.03087	0.05843
PPARG	1.1	9.5	0.8	0.03	0.4287	0.5532	0.76	3.066e-33	5.193e-32
TSEN2	4.7	6.2	7.6	-0.23	0.002359	0.006639	-0.08	0.2663	0.3608
MKRN2	19.5	23.9	20.7	-0.06	0.4588	0.5816	0.17	0.017	0.03459
RAF1	52.8	53.6	51.4	0.03	0.6894	0.7813	0.09	0.126	0.1949
CAND2	1.4	1.6	0.7	0.07	0.06299	0.1174	0.1	0.01917	0.03833
RPL32	4020.5	3862.7	3621.3	0.13	1.264e-12	1.097e-11	0.13	2.355e-11	1.487e-10
IQSEC1	14.9	14.5	18.2	-0.16	0.03546	0.07244	-0.16	0.03945	0.0726
HDAC11	3.9	5.2	5.5	-0.14	0.05373	0.103	-0.01	0.8603	0.8981
FBLN2	10.3	10.4	117.1	-2.5	6.868e-180	1.432e-177	-2.47	2.277e-191	4.389e-189
CHCHD4	22.8	20.8	22	0.03	0.7033	0.7914	-0.02	0.8336	0.8775
TMEM43	36.9	40	46.7	-0.27	7.977e-05	0.0002999	-0.13	0.04597	0.08275
XPC	16.4	17.3	22.4	-0.28	0.0003833	0.00128	-0.19	0.01008	0.02188
LSM3	199.9	172.1	208.3	-0.07	0.1403	0.2293	-0.21	2.725e-06	1.057e-05
SLC6A6	34.6	25	18.3	0.61	7.879e-17	8.998e-16	0.32	8.893e-06	3.22e-05
CCDC174	14.9	16.4	15.2	-0.02	0.8243	0.8824	0.09	0.2279	0.3187
FGD5-AS1	61.9	59.3	72.2	-0.2	0.001422	0.004229	-0.19	0.001239	0.003264
NR2C2	15.3	17.3	17.7	-0.12	0.1198	0.2012	0.01	0.8754	0.909
MRPS25	53.8	58	54.5	-0.02	0.7688	0.8426	0.12	0.04685	0.08414
RBSN	24.5	24.2	22.2	0.09	0.2388	0.352	0.12	0.1074	0.1705
CAPN7	31.2	35.4	30	0.04	0.6057	0.7135	0.21	0.001609	0.004144
SH3BP5-AS1	2.1	1.5	2	0.01	0.8736	0.9178	-0.05	0.3463	0.446
SH3BP5	27.1	23.9	34.1	-0.24	0.0009847	0.003027	-0.32	6.666e-06	2.455e-05
METTL6	13.1	10	14.4	-0.07	0.3543	0.4788	-0.23	0.002726	0.006677
EAF1	10.5	13.4	8.6	0.12	0.1195	0.2008	0.32	1.894e-05	6.57e-05
HACL1	6.7	5.7	4.4	0.18	0.01133	0.02681	0.12	0.07501	0.1259
BTD	7.5	4.9	5.7	0.13	0.06848	0.1259	-0.04	0.5506	0.6447
ANKRD28	56.1	47.7	41.2	0.34	9.225e-08	5.181e-07	0.21	0.001051	0.002801
GALNT15	0.7	0	1.5	-0.09	0.03574	0.07289	-0.17	1.537e-07	6.887e-07
DPH3	81	91.3	87.2	-0.1	0.08421	0.15	0.1	0.05818	0.1012
OXNAD1	6.3	5.6	7.4	-0.08	0.2812	0.4004	-0.12	0.1026	0.1642
RFTN1	52	38.7	59.1	-0.15	0.01804	0.04041	-0.44	6.331e-12	4.149e-11
PLCL2	0.8	2.2	2.1	-0.14	0.004745	0.01238	0.02	0.6576	0.7385
TBC1D5	27.8	29.4	37.5	-0.32	9.477e-06	4.102e-05	-0.22	0.001691	0.004338
SATB1	6.2	4.3	1	0.46	1.512e-14	1.498e-13	0.33	4.18e-09	2.193e-08
RAB5A	61.1	59.7	52.8	0.17	0.00753	0.0187	0.19	0.001871	0.004749
KAT2B	5.3	4.8	5.6	-0.03	0.6979	0.7876	-0.05	0.4601	0.5592
SGO1	29.4	21.3	28.3	0.03	0.6383	0.7399	-0.24	0.001087	0.002892
ZNF385D	12.9	7.6	26.3	-0.61	6.398e-15	6.511e-14	-0.93	3.406e-33	5.738e-32
UBE2E2	32	44.9	33	-0.04	0.6108	0.7173	0.38	4.533e-09	2.368e-08
UBE2E1	33.2	46.4	38.5	-0.16	0.02198	0.04796	0.25	6.031e-05	0.0001937
NKIRAS1	11.2	10.1	14	-0.17	0.03814	0.07697	-0.21	0.007786	0.01729
RPL15	2626.1	2588.4	2705.5	-0.06	0.001447	0.004293	-0.02	0.3504	0.4505
NR1D2	19.6	19.2	44.2	-0.82	3.144e-29	6.097e-28	-0.81	2.788e-30	4.263e-29
RARB	2.8	3.7	0.8	0.21	3.461e-05	0.0001378	0.3	4.949e-09	2.573e-08
TOP2B	33.1	32.2	37.5	-0.14	0.04647	0.09116	-0.12	0.07579	0.127
NGLY1	20.9	23.7	21.8	-0.04	0.5988	0.707	0.11	0.1066	0.1694
OXSM	4.1	3.8	3	0.09	0.1441	0.2347	0.08	0.1991	0.2852
NEK10	3	5.9	1.1	0.18	0.0006501	0.002078	0.45	3.46e-14	2.664e-13
SLC4A7	50.6	64	31.7	0.51	1.931e-14	1.897e-13	0.84	6.159e-41	1.337e-39
CMC1	53.6	51.7	57.1	-0.08	0.2184	0.3291	-0.07	0.2622	0.3569
AZI2	74.4	71.5	59.3	0.27	7.51e-06	3.298e-05	0.28	2.159e-06	8.457e-06
RBMS3	37.8	34.4	41.3	-0.1	0.1376	0.2257	-0.16	0.01717	0.0349
RBMS3-AS3	1.7	1.5	3.8	-0.19	0.001567	0.004603	-0.21	0.0002798	0.0008169
TGFBR2	82.6	77.6	70.1	0.19	0.00236	0.006639	0.17	0.006252	0.0142
STT3B	62.1	61.2	48.6	0.28	7.217e-06	3.174e-05	0.32	1.395e-07	6.278e-07
OSBPL10	14.3	10.5	3.6	0.73	9.376e-23	1.392e-21	0.55	2.378e-14	1.847e-13
GPD1L	1.7	3.4	2	-0.03	0.6493	0.7487	0.15	0.01066	0.02297
CMTM8	3.5	7.3	0.7	0.28	2.24e-08	1.337e-07	0.61	5.84e-25	7.519e-24
CMTM7	33.2	36.3	25	0.28	9.489e-05	0.0003526	0.42	5.264e-10	2.964e-09
CMTM6	97.9	102.8	122.1	-0.29	1.205e-07	6.687e-07	-0.17	0.001006	0.002688
DYNC1LI1	17.4	16.6	22.5	-0.23	0.003389	0.009167	-0.23	0.002015	0.005081
CNOT10	9.3	8.5	9	0.02	0.8056	0.8685	-0.01	0.8888	0.9195
GLB1	15.4	14.5	15.9	-0.02	0.7396	0.8205	-0.04	0.5807	0.6715
CRTAP	223.1	178.1	203.2	0.12	0.006367	0.0161	-0.12	0.005437	0.01256
SUSD5	5.9	9.6	1.3	0.41	1.533e-11	1.215e-10	0.7	4.302e-27	5.91e-26
FBXL2	7.4	6.3	2.7	0.39	1.64e-08	9.956e-08	0.33	4.645e-07	1.974e-06
UBP1	34.1	33	35.1	-0.04	0.6323	0.7348	-0.03	0.7337	0.7984
CLASP2	20.8	19.1	17.4	0.15	0.04879	0.09493	0.12	0.127	0.1962
PDCD6IP	56.2	62.6	62.2	-0.12	0.05148	0.09933	0.05	0.3577	0.457
STAC	15.4	21.5	17.7	-0.12	0.1443	0.2349	0.21	0.004326	0.01018
TRANK1	3.3	5.4	3.4	-0.02	0.7991	0.8641	0.19	0.004646	0.01088
EPM2AIP1	19.5	15.5	13.9	0.27	0.0004832	0.001583	0.12	0.1188	0.1855
MLH1	10.4	10.4	12.3	-0.12	0.1389	0.2273	-0.09	0.2215	0.3108
LRRFIP2	175.4	181.4	277.9	-0.63	8.759e-44	2.556e-42	-0.53	9.404e-36	1.726e-34
AC097359.2	2.6	3	2.4	0.02	0.7615	0.8369	0.07	0.2113	0.2992
GOLGA4	267.6	275.8	275.3	-0.05	0.2565	0.3727	0.05	0.2581	0.3524
CTDSPL	15.4	16.4	19.9	-0.22	0.005501	0.01406	-0.14	0.07506	0.1259
VILL	2.4	1.5	1.6	0.08	0.1323	0.2181	0	0.9382	0.9558
PLCD1	7.6	9.4	11.5	-0.26	0.0009124	0.00282	-0.11	0.148	0.2226
ACAA1	20.1	22	24.6	-0.19	0.01354	0.03138	-0.07	0.3444	0.4444
MYD88	11.5	13.8	13.4	-0.11	0.1602	0.2559	0.05	0.4711	0.57
OXSR1	32.7	35.7	28.8	0.13	0.07635	0.1381	0.26	8.608e-05	0.0002705
XYLB	6.5	5.2	7.5	-0.07	0.324	0.4471	-0.16	0.02681	0.05156
EXOG	17.1	15.1	14.3	0.14	0.07749	0.1399	0.08	0.317	0.4154
WDR48	12.1	12.6	10	0.12	0.1038	0.1785	0.19	0.01267	0.02675
GORASP1	13.5	9.4	12.9	0.03	0.6833	0.7769	-0.19	0.01324	0.02781
CSRNP1	7.6	6.6	8.1	-0.04	0.605	0.7129	-0.09	0.2211	0.3104
SLC25A38	18.8	18.2	17.1	0.08	0.3167	0.4394	0.09	0.2448	0.3383
RPSA	1401.4	1841.6	1226	0.18	9.185e-14	8.693e-13	0.62	1.088e-125	9.61e-124
EIF1B	55.7	62.3	49.2	0.14	0.03121	0.0649	0.32	1.089e-07	4.948e-07
ENTPD3-AS1	7.5	6.1	8.5	-0.07	0.3438	0.4682	-0.16	0.03549	0.06608
RPL14	2101.7	1894.4	1848.1	0.17	2.998e-15	3.113e-14	0.07	0.001137	0.003015
ZNF619	2.7	1.1	1.4	0.13	0.01991	0.04404	-0.03	0.4754	0.5742
ZNF621	14.4	11.8	16	-0.09	0.2694	0.387	-0.21	0.00789	0.0175
CTNNB1	52.9	53.3	68.4	-0.31	2.956e-06	1.376e-05	-0.25	6.765e-05	0.0002162
ULK4	3.4	6.2	6.6	-0.27	0.0001871	0.0006608	-0.02	0.8668	0.9028
TRAK1	35.5	42.7	31.8	0.12	0.1019	0.1759	0.36	3.141e-08	1.511e-07
SEC22C	73	66.5	80.3	-0.13	0.03455	0.07086	-0.19	0.001342	0.003512
SS18L2	31.6	34.9	38.1	-0.2	0.00418	0.01107	-0.06	0.4376	0.538
NKTR	49.2	43.6	50.4	-0.03	0.6112	0.7176	-0.12	0.05489	0.09629
AC006059.1	3.2	3.4	5.4	-0.2	0.004584	0.01202	-0.16	0.01522	0.03142
ZBTB47	13.6	16.9	14.6	-0.05	0.484	0.6043	0.15	0.0464	0.08343
HIGD1A	21	28.2	19	0.08	0.2775	0.3966	0.41	1.354e-08	6.746e-08
ZNF662	3.4	1.4	1.8	0.14	0.01455	0.03348	-0.04	0.4144	0.5152
POMGNT2	15.5	17.4	12.1	0.18	0.01939	0.04307	0.31	2.901e-05	9.777e-05
SNRK	7.5	9.2	7.8	-0.03	0.7575	0.834	0.12	0.09885	0.159
ANO10	21.4	19.8	25.6	-0.17	0.02152	0.04711	-0.21	0.005746	0.01319
ABHD5	28	25.6	43.2	-0.46	3.727e-11	2.87e-10	-0.51	7.273e-14	5.494e-13
AC006058.3	4	4.1	2.6	0.13	0.03546	0.07244	0.16	0.01139	0.02436
AC006058.1	13.4	23	8.3	0.32	4.711e-05	0.0001839	0.81	1.274e-27	1.788e-26
TCAIM	15.9	15.5	12.4	0.19	0.01698	0.03839	0.2	0.007151	0.01602
ZNF445	13.5	13.8	14.1	-0.04	0.6376	0.7394	0.01	0.8641	0.9003
ZNF852	0.9	0.9	1.1	-0.03	0.5515	0.6667	-0.02	0.6991	0.7711
ZKSCAN7	2.1	2.3	2.1	-0.01	0.9708	0.9815	0.02	0.6227	0.7091
ZNF197	7.7	7.3	6.8	0.06	0.418	0.5429	0.06	0.4127	0.5136
ZNF35	7.9	6	7.1	0.05	0.5047	0.6251	-0.07	0.3667	0.4666
ZNF502	4	3.3	3.5	0.05	0.4783	0.5988	-0.01	0.9354	0.9543
ZNF501	4.7	3	3	0.14	0.02958	0.06202	0.01	0.8533	0.8923
KIAA1143	18.7	18.2	21.7	-0.14	0.0822	0.1473	-0.12	0.1064	0.1692
KIF15	8.3	5.7	7.5	0.06	0.4298	0.5541	-0.12	0.1115	0.176
TMEM42	32.2	34.1	33.1	-0.03	0.6554	0.7542	0.07	0.2608	0.3556
ZDHHC3	90.1	92.7	90.8	-0.02	0.7708	0.8437	0.07	0.1644	0.2428
EXOSC7	13.7	17.5	19.6	-0.29	0.0001657	0.00059	-0.07	0.3908	0.4914
CLEC3B	6.3	12.4	5	0.11	0.1381	0.2264	0.54	1.478e-13	1.088e-12
CDCP1	9.6	19.2	2.7	0.54	2.416e-14	2.36e-13	1.1	6.411e-52	1.858e-50
TMEM158	14.5	17.6	9.4	0.29	0.000145	0.000522	0.49	6.391e-11	3.879e-10
LARS2	8.6	7.6	9.4	-0.05	0.5121	0.6321	-0.1	0.2069	0.2939
LIMD1	12.7	18.6	11.3	0.08	0.2809	0.4002	0.42	1.948e-08	9.552e-08
SACM1L	14.4	17.7	16.9	-0.13	0.09785	0.17	0.07	0.3242	0.4232
LZTFL1	4.7	6.3	5.4	-0.06	0.384	0.5095	0.09	0.2069	0.2939
FYCO1	17.3	17.6	9	0.47	1.772e-09	1.18e-08	0.52	6.271e-12	4.112e-11
LRRC2	6.5	5.7	8.7	-0.16	0.03933	0.07897	-0.21	0.005908	0.01353
CCDC12	26.4	25.6	31.6	-0.18	0.0121	0.02837	-0.17	0.01579	0.03241
NBEAL2	2.7	3.7	2.1	0.05	0.3537	0.478	0.16	0.006391	0.01448
SETD2	41.7	42.3	45.2	-0.1	0.1515	0.2445	-0.03	0.6334	0.7171
KIF9-AS1	1.8	1.6	1.6	0.02	0.7188	0.8036	0	0.9916	0.9947
KIF9	18.4	20.3	16.3	0.1	0.2096	0.3182	0.22	0.00269	0.006603
KLHL18	15.8	15.6	17.7	-0.1	0.2132	0.3228	-0.07	0.3432	0.443
AC099778.1	1.1	1.7	1.6	-0.05	0.2894	0.4097	0.02	0.7339	0.7984
PTPN23	23.5	24.6	23.9	-0.02	0.7972	0.863	0.07	0.3543	0.4539
SCAP	16.8	19	19	-0.11	0.1657	0.2633	0.03	0.6292	0.7142
ELP6	27.6	25.5	26.4	0.04	0.5769	0.6888	0	0.9589	0.9703
SMARCC1	51.6	48.8	50.8	0.01	0.8186	0.8784	0	0.9982	0.9988
DHX30	62.2	65.9	62.7	-0.01	0.8507	0.9011	0.11	0.07311	0.1232
MAP4	154.9	182.4	218.3	-0.47	3.526e-22	5.126e-21	-0.19	2.045e-05	7.045e-05
CDC25A	6.5	4.9	6.9	-0.03	0.6794	0.7737	-0.14	0.04325	0.07852
ZNF589	2.1	1.3	1.7	0.04	0.4337	0.5579	-0.03	0.4954	0.5933
NME6	23.4	25.7	30.4	-0.26	0.0004213	0.001394	-0.13	0.07205	0.1217
PLXNB1	2.9	2.3	1.1	0.18	0.0006779	0.002157	0.14	0.006458	0.0146
CCDC51	8.7	8.5	9.1	-0.03	0.7329	0.8152	-0.01	0.8731	0.9079
TMA7	873.6	907.2	826.4	0.06	0.01336	0.031	0.17	4.092e-11	2.523e-10
ATRIP	8.5	9.8	9.6	-0.07	0.3569	0.4815	0.04	0.6003	0.6885
TREX1	1.4	1.3	1.8	-0.04	0.4025	0.5269	-0.05	0.3143	0.413
SHISA5	138.9	170.2	140.4	-0.02	0.6641	0.7618	0.31	3.11e-11	1.939e-10
PFKFB4	6.7	8.1	7.7	-0.07	0.3185	0.4414	0.05	0.5294	0.6247
COL7A1	4.6	3.6	16.8	-0.78	4.167e-22	6.044e-21	-0.85	3.981e-28	5.704e-27
UQCRC1	103.1	115.1	141.8	-0.42	4.332e-15	4.466e-14	-0.22	6.807e-06	2.502e-05
SLC26A6	4.3	3.9	3	0.11	0.08839	0.1564	0.09	0.1616	0.2394
NCKIPSD	7	11.4	7.8	-0.06	0.4434	0.5674	0.27	0.0003797	0.001086
IP6K2	32.4	38.1	23.2	0.33	7.43e-06	3.264e-05	0.54	1.871e-15	1.552e-14
PRKAR2A	104.1	102.2	106.7	-0.04	0.4632	0.5851	-0.01	0.8414	0.8834
SLC25A20	9.2	9	11.2	-0.13	0.1003	0.1736	-0.11	0.138	0.2103
ARIH2OS	1.6	1.6	0.9	0.08	0.0749	0.136	0.09	0.04297	0.07808
ARIH2	83.6	86.2	90.7	-0.11	0.0626	0.1169	-0.01	0.8153	0.8634
P4HTM	10.8	12.9	15	-0.24	0.002835	0.007802	-0.08	0.2832	0.379
WDR6	28.3	24.8	22.4	0.22	0.002911	0.00799	0.14	0.05996	0.104
DALRD3	26.2	24.1	31.8	-0.2	0.005936	0.0151	-0.24	0.0007715	0.002103
NDUFAF3	209.7	207.8	303.1	-0.51	9.122e-38	2.312e-36	-0.46	1.905e-34	3.376e-33
IMPDH2	74.3	72	85.8	-0.19	0.002608	0.007257	-0.17	0.004724	0.01104
QRICH1	28.9	30.2	30.2	-0.05	0.5048	0.6251	0.03	0.5827	0.6735
QARS	26.2	23.7	25.7	0.01	0.841	0.8942	-0.04	0.5889	0.6788
USP19	8.9	8.7	9.2	-0.03	0.7535	0.8304	-0.01	0.8799	0.9126
LAMB2	40	38.7	38.8	0.03	0.6754	0.7705	0.04	0.5335	0.6283
CCDC71	26.1	26.1	30	-0.14	0.05154	0.09942	-0.1	0.171	0.2507
KLHDC8B	11	16.3	22.4	-0.57	8.169e-13	7.206e-12	-0.24	0.001172	0.0031
CCDC36	0.6	7.4	3	-0.25	1.435e-06	6.994e-06	0.38	2.767e-08	1.336e-07
AC121247.1	0	2.2	0.9	-0.1	0.0001457	0.0005243	0.15	0.00154	0.003981
C3orf62	2.7	2.5	2.7	0	0.9424	0.9638	-0.01	0.915	0.9398
USP4	25	28.7	29	-0.15	0.04093	0.08166	0.03	0.6807	0.7565
RHOA	930.3	928	954.5	-0.04	0.09846	0.1709	0.02	0.5428	0.6371
TCTA	46.3	45.3	49.1	-0.07	0.275	0.3935	-0.05	0.4663	0.5653
DAG1	45.4	45.1	52.8	-0.18	0.006772	0.01701	-0.14	0.02983	0.05668
APEH	22.7	21.8	30.5	-0.3	9.377e-05	0.0003488	-0.29	5.965e-05	0.0001916
RNF123	6.4	9.5	8.1	-0.12	0.103	0.1775	0.12	0.1186	0.1854
GMPPB	28.5	29.6	40	-0.36	2.912e-07	1.537e-06	-0.28	3.765e-05	0.0001245
IP6K1	21	20.5	21.7	-0.03	0.6803	0.7742	-0.02	0.8495	0.8894
INKA1	10.8	8.6	11.4	-0.04	0.6245	0.7286	-0.16	0.04252	0.07743
UBA7	3.3	2.1	2.8	0.04	0.534	0.6516	-0.07	0.2451	0.3385
TRAIP	2.6	2.1	3.3	-0.07	0.2678	0.3855	-0.11	0.0578	0.1007
MON1A	12.8	13.4	14.5	-0.1	0.2285	0.3406	-0.03	0.6882	0.7628
RBM6	38.2	38.6	33.2	0.15	0.03264	0.06745	0.21	0.001758	0.004493
RBM5	24.5	24.7	26.1	-0.07	0.3934	0.5183	-0.02	0.8243	0.8711
SEMA3F	6.5	15.2	1.3	0.46	2.129e-13	1.959e-12	1.04	9.812e-51	2.737e-49
GNAI2	316	341.8	312.1	0.01	0.7859	0.855	0.17	7.823e-07	3.23e-06
U73166.1	1.4	1.3	0.9	0.05	0.2206	0.3313	0.05	0.2616	0.3563
SEMA3B	4.5	3.5	4.6	-0.01	0.8699	0.915	-0.09	0.177	0.2581
IFRD2	74.9	88.3	79.5	-0.08	0.1859	0.288	0.18	0.00124	0.003267
HYAL3	3.3	2.7	3.3	0	0.9806	0.9882	-0.04	0.5031	0.6006
NAA80	6.3	5.8	9.4	-0.22	0.005063	0.01309	-0.24	0.001692	0.00434
HYAL2	27	25.2	23.8	0.12	0.1104	0.188	0.09	0.2034	0.2901
TUSC2	95.7	108.8	70.2	0.38	3.158e-11	2.443e-10	0.6	1.458e-27	2.041e-26
RASSF1	34	30.4	46.8	-0.35	1.852e-07	9.997e-07	-0.43	1.211e-10	7.197e-10
RASSF1-AS1	1.6	1.2	0.7	0.09	0.02351	0.05085	0.06	0.1154	0.1814
ZMYND10	0.7	0.4	1.8	-0.12	0.008875	0.02151	-0.15	0.0004476	0.001266
NPRL2	12	11.3	10	0.12	0.131	0.2166	0.11	0.1423	0.2155
CYB561D2	14.5	17.1	17.9	-0.18	0.02606	0.05554	-0.01	0.9564	0.9683
TMEM115	49.6	47.5	50.4	-0.02	0.726	0.8095	-0.02	0.7239	0.7922
C3orf18	12.3	10.5	10.9	0.08	0.3056	0.4273	0	0.948	0.9624
HEMK1	11.5	12.5	14.7	-0.19	0.0197	0.04364	-0.09	0.2164	0.3053
CISH	1.3	1.2	1.2	0.01	0.747	0.8256	0.01	0.8332	0.8772
MAPKAPK3	46.9	56	62.6	-0.34	1.211e-07	6.711e-07	-0.09	0.1585	0.2357
DOCK3	0.1	0.3	1.5	-0.15	1.634e-05	6.813e-05	-0.13	0.0009148	0.002464
MANF	65.5	78.6	96.2	-0.48	4.162e-14	4.017e-13	-0.2	0.0005757	0.001602
RBM15B	41.7	42.9	45.2	-0.1	0.1575	0.2526	-0.01	0.8567	0.895
DCAF1	6.7	7.1	8.3	-0.11	0.1362	0.2235	-0.06	0.3881	0.4886
RAD54L2	14.3	14.2	10.8	0.19	0.01229	0.0288	0.22	0.002696	0.006614
TEX264	60.5	63.1	57.2	0.06	0.3365	0.4606	0.16	0.006227	0.01415
RRP9	10.7	9.3	12.2	-0.09	0.2566	0.3729	-0.16	0.04318	0.07843
PARP3	11	11.3	16.9	-0.32	4.482e-05	0.0001755	-0.28	0.0002642	0.0007738
PCBP4	45	44.7	56.4	-0.26	3.878e-05	0.0001535	-0.22	0.0003047	0.0008857
ABHD14B	39.8	39.8	52.3	-0.32	1.546e-06	7.5e-06	-0.27	2.721e-05	9.194e-05
ABHD14A	2.8	3.9	2.9	-0.02	0.7974	0.8631	0.1	0.1166	0.1828
ACY1	5.7	3.9	4.7	0.09	0.2312	0.3433	-0.05	0.4698	0.5687
RPL29	3620.3	3513.2	3240.3	0.14	2.892e-15	3.005e-14	0.15	3.191e-15	2.612e-14
DUSP7	10.2	11.7	13.9	-0.22	0.005411	0.01388	-0.1	0.2056	0.2925
POC1A	28.4	18.4	33.8	-0.19	0.01082	0.02576	-0.55	4.198e-14	3.223e-13
ALAS1	18.6	13.7	23.2	-0.2	0.008121	0.01993	-0.42	4.103e-08	1.95e-07
TWF2	30	31.6	36.9	-0.22	0.001712	0.004984	-0.12	0.06712	0.1147
PPM1M	20.9	20.8	20.5	0.02	0.8356	0.8904	0.05	0.4805	0.579
WDR82	44.9	44.3	43.7	0.03	0.6953	0.7853	0.06	0.3362	0.4355
GLYCTK	8.1	8.2	11.2	-0.2	0.012	0.02821	-0.17	0.02808	0.0537
BAP1	22.5	23.1	22.9	-0.02	0.8032	0.8668	0.05	0.5221	0.6182
PHF7	7.1	4.5	6.9	0.01	0.835	0.8901	-0.17	0.01759	0.03567
TNNC1	1	0.6	3.2	-0.22	7.117e-05	0.00027	-0.26	3.649e-07	1.574e-06
NISCH	22.9	22.3	16	0.31	6e-05	0.0002303	0.32	1.302e-05	4.615e-05
NT5DC2	136.2	103.8	68.4	0.86	7.438e-51	2.658e-49	0.57	2.635e-23	3.186e-22
SMIM4	52.8	44.9	46.8	0.13	0.03583	0.07303	0	0.9907	0.9942
PBRM1	57.7	53.4	70.1	-0.24	8.964e-05	0.000334	-0.28	2.579e-06	1.003e-05
GNL3	45.4	39.6	45.3	0	0.998	0.9985	-0.1	0.1058	0.1684
GLT8D1	51.6	49.2	51.5	0	0.988	0.993	-0.01	0.908	0.9339
SPCS1	191.3	194.3	219.1	-0.19	6.958e-06	3.068e-05	-0.11	0.006962	0.01565
NEK4	12.9	12.2	13.8	-0.05	0.5385	0.6558	-0.06	0.4237	0.5244
STIMATE	2	2.1	2	0	0.9311	0.9559	0.02	0.6196	0.7061
SFMBT1	4.6	5	6.3	-0.13	0.06493	0.1205	-0.08	0.2507	0.3444
RFT1	10.2	9	12	-0.12	0.1417	0.2313	-0.17	0.02841	0.05429
PRKCD	9.3	8.3	12.4	-0.2	0.01421	0.03277	-0.24	0.002066	0.005197
TKT	119.9	101.6	192.2	-0.63	5.911e-31	1.217e-29	-0.79	5.873e-48	1.537e-46
DCP1A	17.9	20.6	16.6	0.06	0.4502	0.5735	0.22	0.002843	0.006946
AC012467.2	1.4	1.6	0.8	0.06	0.1257	0.2096	0.09	0.04494	0.08112
ACTR8	9	11.2	9.9	-0.06	0.4383	0.5629	0.11	0.1539	0.2302
SELENOK	77.7	79.3	80.7	-0.06	0.3493	0.4729	0.02	0.6944	0.7677
WNT5A	34.6	43.5	9.7	1.08	5.648e-47	1.752e-45	1.38	1.036e-83	5.335e-82
CCDC66	10.3	10.8	10.9	-0.04	0.6235	0.7276	0.02	0.8201	0.8677
FAM208A	44.3	45.9	44.4	-0.01	0.9001	0.9364	0.08	0.2026	0.2892
ARHGEF3	1.5	1.1	1.3	0.02	0.628	0.7315	-0.02	0.6409	0.7236
APPL1	77.1	81.7	84.3	-0.12	0.04493	0.0884	0.01	0.8693	0.9049
PDE12	14.9	15	13.5	0.07	0.3874	0.5124	0.11	0.1521	0.2279
ARF4	212.6	217.6	217.8	-0.04	0.3579	0.4825	0.05	0.2053	0.2923
ARF4-AS1	1.9	1.3	1.8	0.01	0.8273	0.8846	-0.05	0.3682	0.468
DENND6A	7.8	7.2	8.8	-0.07	0.3588	0.4835	-0.09	0.2533	0.3472
SLMAP	33.7	39.9	33.3	0.01	0.9044	0.9381	0.23	0.0003277	0.0009477
FLNB	101.2	93.5	106.1	-0.07	0.2615	0.3782	-0.11	0.05466	0.096
ABHD6	7.4	6.7	8.2	-0.06	0.4265	0.5511	-0.09	0.2493	0.3432
RPP14	15.9	18.3	14.3	0.08	0.2854	0.4051	0.24	0.001412	0.003681
HTD2	3.5	4.4	4.5	-0.08	0.2329	0.3454	0.01	0.8377	0.8807
PXK	35.6	25.6	33	0.08	0.2577	0.3742	-0.21	0.002301	0.005742
PDHB	27	26.8	30.5	-0.13	0.0893	0.1576	-0.09	0.2081	0.2954
KCTD6	12.6	11.7	12.1	0.03	0.727	0.8103	0	0.9852	0.9905
ACOX2	2.3	0.8	3.9	-0.15	0.0179	0.04015	-0.3	7.537e-08	3.481e-07
C3orf67	9.1	6	6.3	0.2	0.009292	0.02244	0	0.9495	0.9633
PTPRG	28.8	27.7	24.3	0.17	0.02386	0.05142	0.17	0.01676	0.03417
C3orf14	51.3	45.5	56.8	-0.13	0.04998	0.09679	-0.21	0.0006886	0.001893
THOC7	104.9	105.3	126.1	-0.25	2.217e-06	1.047e-05	-0.19	0.0002054	0.0006113
PSMD6	33.7	34.9	42.5	-0.25	0.0002167	0.0007568	-0.18	0.008676	0.01911
PRICKLE2	8.4	7.6	11.5	-0.2	0.01088	0.02586	-0.24	0.001792	0.00457
MAGI1	25	22	27.3	-0.09	0.2293	0.3412	-0.17	0.018	0.03633
SLC25A26	26.3	26.2	22.9	0.13	0.07897	0.1423	0.17	0.01812	0.03657
LRIG1	4.5	7.1	1.8	0.24	7.26e-05	0.0002751	0.47	3.317e-13	2.388e-12
KBTBD8	2.2	5.3	0.8	0.14	0.002462	0.006901	0.44	7.523e-15	6.011e-14
SUCLG2	25.1	22.4	29.5	-0.16	0.02594	0.05532	-0.23	0.001416	0.003692
SUCLG2-AS1	9	6	7.7	0.09	0.2401	0.3535	-0.11	0.1517	0.2273
EOGT	29	37.8	28.7	0.01	0.9219	0.9492	0.33	7.386e-07	3.061e-06
AC109587.1	0.6	0.8	1.3	-0.07	0.06792	0.1251	-0.04	0.3058	0.4039
TMF1	57.7	60.5	58.2	-0.02	0.8078	0.8703	0.09	0.1343	0.2054
UBA3	23.2	22.4	22.5	0.02	0.7497	0.8275	0.03	0.633	0.7166
ARL6IP5	85.7	105.9	82.9	0.04	0.5257	0.6453	0.36	4.977e-11	3.049e-10
